Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1.0,1.0,74.0,254.6139678955080,253.08843994140600,1.0
1.0,2.0,27.0,10.652486801147500,10.603343963623000,1.0
1.0,3.0,2.0,13.602703094482400,13.612552642822300,1.0
1.0,4.0,3.0,13.377882957458500,13.314929008483900,1.0
1.0,5.0,16.0,1.4732692241668700,1.4285833835601800,1.0
1.0,6.0,4.0,0.42010223865509000,0.4103044271469120,1.0
1.0,7.0,2.0,1.2075814008712800,1.181412696838380,1.0
1.0,8.0,0.0,-0.5835909247398380,-0.5686031579971310,1.0
1.0,9.0,0.0,-1.948931097984310,-1.9466229677200300,1.0
1.0,10.0,1.0,-0.8031092286109920,-0.775079607963562,1.0
1.0,11.0,0.0,-1.119178056716920,-1.1512640714645400,1.0
1.0,12.0,6.0,-2.50801944732666,-2.485696315765380,1.0
1.0,13.0,1.0,-0.11120223999023400,-0.07406874746084210,1.0
1.0,14.0,0.0,1.062893033027650,1.0136480331420900,1.0
1.0,15.0,9.0,-0.7235044240951540,-0.7406205534935000,1.0
1.0,16.0,16.0,0.7638322710990910,0.7492998242378240,1.0
1.0,17.0,1.0,1.6028732061386100,1.570885419845580,1.0
1.0,18.0,10.0,0.9516123533248900,0.8567718863487240,1.0
1.0,19.0,4.0,0.9800438284873960,0.9464524388313290,1.0
1.0,20.0,4.0,0.8564985394477840,0.8354277014732360,1.0
1.0,21.0,1.0,0.8942124843597410,0.8858708739280700,1.0
1.0,22.0,2.0,0.39133113622665400,0.33253395557403600,1.0
1.0,23.0,3.0,0.24854514002800000,0.20086947083473200,1.0
1.0,24.0,0.0,0.34804844856262200,0.2994222342967990,1.0
1.0,25.0,17.0,0.6259350776672360,0.5852135419845580,1.0
1.0,26.0,0.0,-0.4792402684688570,-0.5184171199798580,1.0
1.0,27.0,3.0,0.41409486532211300,0.3442431092262270,1.0
1.0,28.0,1.0,0.9484875202178960,0.8205402493476870,1.0
1.0,29.0,9.0,-0.037617139518261000,-0.06220415234565740,1.0
1.0,30.0,7.0,0.7649394273757940,0.7117028832435610,1.0
1.0,31.0,0.0,0.6884356737136840,0.6774538159370420,1.0
1.0,32.0,0.0,0.21158520877361300,0.21916763484478000,1.0
1.0,33.0,10.0,1.1348971128463700,1.0458842515945400,1.0
1.0,34.0,13.0,1.249072790145870,1.1993354558944700,1.0
1.0,35.0,1.0,0.6305615305900570,0.5721785426139830,1.0
1.0,36.0,18.0,0.8649290204048160,0.8088054656982420,1.0
1.0,37.0,2.0,1.6208301782608000,1.5542761087417600,1.0
1.0,38.0,0.0,0.9903484582901000,0.9820392727851870,1.0
1.0,39.0,1.0,1.078786015510560,1.0204321146011400,1.0
1.0,40.0,2.0,1.0743107795715300,0.9712074398994450,1.0
1.0,41.0,6.0,0.4466857314109800,0.4170893132686620,1.0
1.0,42.0,0.0,0.5964797139167790,0.570737898349762,1.0
1.0,43.0,1.0,1.3762468099594100,1.2754608392715500,1.0
1.0,44.0,12.0,1.6216167211532600,1.5336713790893600,1.0
1.0,45.0,1.0,1.228873372077940,1.1220719814300500,1.0
1.0,46.0,1.0,1.6971044540405300,1.6043903827667200,1.0
1.0,47.0,1.0,0.8794105052948000,0.8230579495429990,1.0
1.0,48.0,6.0,1.0000998973846400,0.9525691270828250,1.0
1.0,49.0,9.0,1.226166844367980,1.2047922611236600,1.0
1.0,50.0,17.0,1.891194462776180,1.8538607358932500,1.0
1.0,51.0,3.0,1.8062114715576200,1.7902432680130000,1.0
1.0,52.0,5.0,1.1090761423111000,1.0681710243225100,1.0
1.0,53.0,4.0,1.897444486618040,1.8531395196914700,1.0
1.0,54.0,3.0,2.2721168994903600,2.2530760765075700,1.0
1.0,55.0,2.0,2.6529595851898200,2.628781795501710,1.0
1.0,56.0,0.0,2.6718626022338900,2.5905871391296400,1.0
1.0,57.0,2.0,3.1574013233184800,3.074866771698000,1.0
1.0,58.0,4.0,2.4147140979766800,2.391213893890380,1.0
1.0,59.0,0.0,1.7504527568817100,1.6767444610595700,1.0
1.0,60.0,4.0,1.273950457572940,1.2484771013259900,1.0
1.0,61.0,3.0,1.4880784749984700,1.4806610345840500,1.0
1.0,62.0,4.0,1.3136658668518100,1.288106918334960,1.0
1.0,63.0,2.0,1.2313436269760100,1.1912760734558100,1.0
1.0,64.0,0.0,1.1778504848480200,1.1744495630264300,1.0
1.0,65.0,8.0,2.0703227519989000,1.987527847290040,1.0
1.0,66.0,1.0,1.776045322418210,1.7723020315170300,1.0
1.0,67.0,3.0,1.5110689401626600,1.481658697128300,1.0
1.0,68.0,2.0,1.9052871465683000,1.9033313989639300,1.0
1.0,69.0,1.0,1.6805009841918900,1.6804054975509600,1.0
1.0,70.0,7.0,0.9668835401535030,0.9527598023414610,1.0
1.0,71.0,5.0,1.232057809829710,1.225651502609250,1.0
1.0,72.0,13.0,1.3158069849014300,1.3092714548111000,1.0
1.0,73.0,12.0,2.383192539215090,2.3770108222961400,1.0
1.0,74.0,10.0,1.8169279098510700,1.8055604696273800,1.0
1.0,75.0,10.0,1.5557632446289100,1.5508019924163800,1.0
1.0,76.0,14.0,1.559007167816160,1.5501118898391700,1.0
1.0,77.0,2.0,1.7889565229415900,1.7847869396209700,1.0
1.0,78.0,0.0,1.518022060394290,1.5091418027877800,1.0
1.0,79.0,7.0,1.764286994934080,1.7606638669967700,1.0
1.0,80.0,5.0,1.6443207263946500,1.6375315189361600,1.0
1.0,81.0,14.0,2.2898473739624000,2.2779898643493700,1.0
1.0,82.0,6.0,1.3321095705032300,1.3216936588287400,1.0
1.0,83.0,16.0,2.094583034515380,2.0825676918029800,1.0
1.0,84.0,1.0,1.7334771156311000,1.7241392135620100,1.0
1.0,85.0,12.0,1.3302350044250500,1.3272476196289100,1.0
1.0,86.0,4.0,1.4334468841552700,1.4221978187561000,1.0
1.0,87.0,4.0,1.4865221977233900,1.48225736618042,1.0
1.0,88.0,6.0,1.5215480327606200,1.5162073373794600,1.0
1.0,89.0,10.0,1.4485087394714400,1.4341025352478000,1.0
1.0,90.0,17.0,2.6388065814971900,2.6313953399658200,1.0
1.0,91.0,12.0,1.6635807752609300,1.6633007526397700,1.0
1.0,92.0,19.0,1.368417501449590,1.363118052482610,1.0
1.0,93.0,0.0,1.270599126815800,1.259212613105770,1.0
1.0,94.0,0.0,1.2793340682983400,1.2697737216949500,1.0
1.0,95.0,2.0,1.3286736011505100,1.3183202743530300,1.0
1.0,96.0,8.0,1.3015153408050500,1.289720058441160,1.0
1.0,97.0,20.0,1.5573588609695400,1.5502032041549700,1.0
1.0,98.0,5.0,1.2582648992538500,1.2534537315368700,1.0
1.0,99.0,6.0,1.9232735633850100,1.9154415130615200,1.0
1.0,100.0,2.0,1.7803974151611300,1.7758104801178000,1.0
2.0,1.0,2.0,1.6793712377548200,1.6769051551818800,1.0
2.0,2.0,34.0,1.6278396844863900,1.6199005842208900,1.0
2.0,3.0,2.0,1.1235623359680200,1.1168849468231200,1.0
2.0,4.0,8.0,1.7330710887908900,1.7308080196380600,1.0
2.0,5.0,18.0,1.1118831634521500,1.1118593215942400,1.0
2.0,6.0,9.0,1.1207191944122300,1.1129082441330000,1.0
2.0,7.0,15.0,1.3591938018798800,1.3543694019317600,1.0
2.0,8.0,4.0,1.2353675365448000,1.2320144176483200,1.0
2.0,9.0,1.0,1.1980581283569300,1.1953656673431400,1.0
2.0,10.0,5.0,1.2327966690063500,1.2235395908355700,1.0
2.0,11.0,5.0,1.2401816844940200,1.2394685745239300,1.0
2.0,12.0,4.0,1.1391348838806200,1.1351979970932000,1.0
2.0,13.0,11.0,1.1592469215393100,1.1594226360321000,1.0
2.0,14.0,0.0,1.2969943284988400,1.292273998260500,1.0
2.0,15.0,1.0,1.280125379562380,1.276841402053830,1.0
2.0,16.0,2.0,1.1273566484451300,1.1224474906921400,1.0
2.0,17.0,4.0,1.2836593389511100,1.2761800289154100,1.0
2.0,18.0,3.0,1.088005781173710,1.08870530128479,1.0
2.0,19.0,7.0,1.1597180366516100,1.1544491052627600,1.0
2.0,20.0,21.0,1.3474390506744400,1.344801664352420,1.0
2.0,21.0,5.0,1.3745713233947800,1.3688969612121600,1.0
2.0,22.0,0.0,1.4766361713409400,1.4741921424865700,1.0
2.0,23.0,12.0,1.3284821510314900,1.3277945518493700,1.0
2.0,24.0,1.0,1.2165827751159700,1.2129151821136500,1.0
2.0,25.0,0.0,1.5131983757019000,1.5090233087539700,1.0
2.0,26.0,17.0,1.6918554306030300,1.676261305809020,1.0
2.0,27.0,3.0,1.3421988487243700,1.339207410812380,1.0
2.0,28.0,7.0,1.328874111175540,1.3245697021484400,1.0
2.0,29.0,2.0,1.2290472984314000,1.2297399044036900,1.0
2.0,30.0,15.0,1.100538969039920,1.0991675853729200,1.0
2.0,31.0,8.0,1.2659944295883200,1.2606909275054900,1.0
2.0,32.0,5.0,1.1931226253509500,1.1894116401672400,1.0
2.0,33.0,1.0,1.2545664310455300,1.2534739971160900,1.0
2.0,34.0,5.0,1.31853449344635,1.3115332126617400,1.0
2.0,35.0,1.0,1.2384034395217900,1.2352789640426600,1.0
2.0,36.0,11.0,1.462667465209960,1.460526943206790,1.0
2.0,37.0,4.0,1.3786818981170700,1.3768376111984300,1.0
2.0,38.0,9.0,1.2626075744628900,1.2582361698150600,1.0
2.0,39.0,6.0,1.100630521774290,1.097247838974000,1.0
2.0,40.0,0.0,1.135124683380130,1.1338413953781100,1.0
2.0,41.0,3.0,1.4012041091918900,1.3958637714386000,1.0
2.0,42.0,6.0,1.637361764907840,1.6354782581329300,1.0
2.0,43.0,0.0,1.395477056503300,1.3885918855667100,1.0
2.0,44.0,0.0,1.3183653354644800,1.3168809413909900,1.0
2.0,45.0,2.0,1.330278754234310,1.3280584812164300,1.0
2.0,46.0,4.0,1.4635937213897700,1.4549291133880600,1.0
2.0,47.0,1.0,1.694922924041750,1.6879489421844500,1.0
2.0,48.0,4.0,1.610493540763860,1.5984458923339800,1.0
2.0,49.0,2.0,1.584288239479070,1.5765396356582600,1.0
2.0,50.0,0.0,1.563509464263920,1.5563139915466300,1.0
2.0,51.0,8.0,1.112684726715090,1.1090952157974200,1.0
2.0,52.0,0.0,1.213883399963380,1.2121719121933000,1.0
2.0,53.0,9.0,1.274652123451230,1.273801326751710,1.0
2.0,54.0,5.0,1.5344126224517800,1.5181496143341100,1.0
2.0,55.0,6.0,1.2560200691223100,1.2550477981567400,1.0
2.0,56.0,6.0,1.3255252838134800,1.3254069089889500,1.0
2.0,57.0,9.0,1.3283478021621700,1.324246883392330,1.0
2.0,58.0,1.0,1.4467978477478000,1.4456905126571700,1.0
2.0,59.0,10.0,1.4365167617797900,1.4357026815414400,1.0
2.0,60.0,3.0,1.358382225036620,1.3556625843048100,1.0
2.0,61.0,9.0,1.9742164611816400,1.9748936891555800,1.0
2.0,62.0,5.0,1.5975658893585200,1.594825267791750,1.0
2.0,63.0,5.0,1.3592638969421400,1.3580055236816400,1.0
2.0,64.0,3.0,1.4681111574173000,1.464785099029540,1.0
2.0,65.0,5.0,1.55287766456604,1.5514910221099900,1.0
2.0,66.0,0.0,1.5111401081085200,1.5104647874832200,1.0
2.0,67.0,5.0,1.5665291547775300,1.5605645179748500,1.0
2.0,68.0,1.0,1.4020062685012800,1.3985987901687600,1.0
2.0,69.0,12.0,1.545818567276000,1.535935401916500,1.0
2.0,70.0,9.0,1.6125627756118800,1.6121561527252200,1.0
2.0,71.0,2.0,1.5594050884246800,1.5572720766067500,1.0
2.0,72.0,12.0,1.5097079277038600,1.505167007446290,1.0
2.0,73.0,9.0,1.3766472339630100,1.3734184503555300,1.0
2.0,74.0,2.0,1.3085675239563000,1.3092067241668700,1.0
2.0,75.0,16.0,1.4971843957901,1.4873225688934300,1.0
2.0,76.0,19.0,1.2208812236785900,1.218748688697820,1.0
2.0,77.0,2.0,1.2358146905899000,1.2351337671279900,1.0
2.0,78.0,1.0,1.4066076278686500,1.4050825834274300,1.0
2.0,79.0,8.0,1.4309000968933100,1.4240198135376000,1.0
2.0,80.0,3.0,1.2608975172042800,1.2561404705047600,1.0
2.0,81.0,10.0,1.3308393955230700,1.3282482624054000,1.0
2.0,82.0,5.0,1.3311114311218300,1.3286501169204700,1.0
2.0,83.0,3.0,1.6505883932113600,1.6393101215362500,1.0
2.0,84.0,0.0,1.3986122608184800,1.3924846649169900,1.0
2.0,85.0,0.0,1.4199453592300400,1.4168697595596300,1.0
2.0,86.0,7.0,1.4712998867034900,1.4706155061721800,1.0
2.0,87.0,0.0,1.654404640197750,1.6511201858520500,1.0
2.0,88.0,3.0,1.4395078420639000,1.4302150011062600,1.0
2.0,89.0,13.0,1.5685194730758700,1.563407063484190,1.0
2.0,90.0,2.0,1.4870702028274500,1.4859501123428300,1.0
2.0,91.0,0.0,1.481687307357790,1.4783928394317600,1.0
2.0,92.0,9.0,1.402270793914800,1.3989742994308500,1.0
2.0,93.0,13.0,1.1300657987594600,1.1269190311431900,1.0
2.0,94.0,3.0,1.1744533777236900,1.1716339588165300,1.0
2.0,95.0,3.0,1.380385160446170,1.3764379024505600,1.0
2.0,96.0,8.0,1.6580513715744000,1.6557337045669600,1.0
2.0,97.0,1.0,1.4684267044067400,1.4664281606674200,1.0
2.0,98.0,32.0,1.2909587621688800,1.2892688512802100,1.0
2.0,99.0,9.0,1.3275933265686000,1.3260438442230200,1.0
2.0,100.0,7.0,1.2293912172317500,1.225829005241390,1.0
3.0,1.0,13.0,1.5250024795532200,1.5228134393692000,1.0
3.0,2.0,4.0,1.5724399089813200,1.5721334218978900,1.0
